Library,Free Seats,% Free,Date,Time,Opening Time,Closing Time
Great Ormond Street Institute of Child Health Library,82,73.21428571428571,2024-10-16,16:58:09.293787,1900-01-01 09:00:00,1900-01-01 18:00:00
UCL East Library,107,70.86092715231787,2024-10-16,16:58:09.293904,1900-01-01 09:00:00,1900-01-01 21:00:00
Language & Speech Science Library,40,70.17543859649122,2024-10-16,16:58:09.293830,1900-01-01 09:15:00,1900-01-01 20:00:00
SSEES Library,117,66.47727272727273,2024-10-16,16:58:09.293873,1900-01-01 09:00:00,1900-01-01 21:00:00
School of Pharmacy Library,36,61.01694915254237,2024-10-16,16:58:09.293859,1900-01-01 08:45:00,1900-01-01 22:00:00
The Joint Library of Ophthalmology,26,59.09090909090909,2024-10-16,16:58:09.293820,1900-01-01 09:00:00,1900-01-01 17:00:00
Bartlett Library,39,56.52173913043478,2024-10-16,16:58:09.293750,1900-01-01 09:00:00,1900-01-01 20:00:00
Graduate Hub (Postgraduate use only),31,56.36363636363636,2024-10-16,16:58:09.293777,1900-01-01 08:30:00,1900-01-01 00:00:00
"Queen Square Institute of Neurology, Queen Square Library",15,51.72413793103448,2024-10-16,16:58:09.293850,1900-01-01 09:00:00,1900-01-01 19:00:00
Cruciform Hub,124,50.20242914979757,2024-10-16,16:58:09.293766,1900-01-01 09:00:00,1900-01-01 21:00:00
Institute of Archaeology Library,27,46.55172413793103,2024-10-16,16:58:09.293798,1900-01-01 09:30:00,1900-01-01 21:00:00
Science Library,409,44.55337690631808,2024-10-16,16:58:09.293884,1900-01-01 08:30:00,1900-01-01 00:00:00
Main Library,233,37.28,2024-10-16,16:58:09.293839,1900-01-01 08:30:00,1900-01-01 00:00:00
Student Centre,232,35.85780525502319,2024-10-16,16:58:09.293894,1900-01-01 00:01:00,1900-01-01 23:59:00
IOE Library,115,35.0609756097561,2024-10-16,16:58:09.293810,1900-01-01 08:30:00,1900-01-01 21:00:00
Institute of Archaeology Library,58,100.0,2024-10-17,00:56:43.644110,1900-01-01 09:30:00,1900-01-01 21:00:00
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,00:56:43.644161,1900-01-01 09:00:00,1900-01-01 19:00:00
UCL East Library,150,99.33774834437084,2024-10-17,00:56:43.644212,1900-01-01 09:00:00,1900-01-01 21:00:00
